timestamp_hours,day,hour_of_day,solar_generation_kw,load_demand_kw,battery_soc_percent,battery_energy_kwh,grid_import_kwh,grid_export_kwh,cloud_coverage,inverter_operational
0.0,1,0,0.0,0.514,46.2,6.24,0.05,0.0,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
1.0,1,1,1.264,0.645,50.78,6.86,0.1,0.0,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
2.0,1,2,2.442,0.529,64.95,8.77,0.13,0.0,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
3.0,1,3,3.454,0.576,86.27,11.65,0.15,0.0,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
4.0,1,4,4.0,0.621,100.0,13.5,0.15,1.52,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
5.0,1,5,4.0,0.582,100.0,13.5,0.15,4.94,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
6.0,1,6,4.0,0.607,100.0,13.5,0.15,8.34,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
7.0,1,7,4.0,0.537,100.0,13.5,0.15,11.8,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
8.0,1,8,4.0,0.501,100.0,13.5,0.15,15.3,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
9.0,1,9,3.454,0.618,100.0,13.5,0.15,18.13,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
10.0,1,10,2.442,0.595,100.0,13.5,0.15,19.98,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
11.0,1,11,1.264,0.573,100.0,13.5,0.15,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
12.0,1,12,0.0,0.576,95.74,12.92,0.21,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
13.0,1,13,0.0,0.565,91.55,12.36,0.27,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
14.0,1,14,0.0,0.536,87.59,11.82,0.32,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
15.0,1,15,0.0,0.527,83.68,11.3,0.38,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
16.0,1,16,0.0,0.534,79.72,10.76,0.43,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
17.0,1,17,0.0,0.611,75.2,10.15,0.49,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
18.0,1,18,0.0,1.479,64.24,8.67,0.64,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
19.0,1,19,0.0,2.13,48.46,6.54,0.85,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
20.0,1,20,0.0,3.078,25.67,3.47,1.16,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
21.0,1,21,0.0,3.046,5.0,0.68,1.69,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
22.0,1,22,0.0,0.596,5.0,0.68,2.29,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
23.0,1,23,0.0,0.633,5.0,0.68,2.92,20.67,0.02,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
