timestamp_hours,day,hour_of_day,solar_generation_kw,load_demand_kw,battery_soc_percent,battery_energy_kwh,grid_import_kwh,grid_export_kwh,cloud_coverage,inverter_operational
0.0,1,0,0.0,0.614,45.45,6.14,0.06,0.0,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
1.0,1,1,1.149,0.528,49.6,6.7,0.06,0.06,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
2.0,1,2,2.221,0.613,60.31,8.14,0.06,0.22,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
3.0,1,3,3.14,0.586,77.35,10.44,0.06,0.48,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
4.0,1,4,3.846,0.603,98.97,13.36,0.06,0.8,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
5.0,1,5,4.0,0.589,100.0,13.5,0.06,4.07,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
6.0,1,6,4.0,0.574,100.0,13.5,0.06,7.5,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
7.0,1,7,4.0,0.595,100.0,13.5,0.06,10.91,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
8.0,1,8,3.846,0.621,100.0,13.5,0.06,14.13,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
9.0,1,9,3.14,0.591,100.0,13.5,0.06,16.68,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
10.0,1,10,2.221,0.635,100.0,13.5,0.06,18.27,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
11.0,1,11,1.149,0.527,100.0,13.5,0.06,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
12.0,1,12,0.0,0.506,96.25,12.99,0.11,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
13.0,1,13,0.0,0.503,92.52,12.49,0.16,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
14.0,1,14,0.0,0.532,88.58,11.96,0.22,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
15.0,1,15,0.0,0.625,83.95,11.33,0.28,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
16.0,1,16,0.0,0.577,79.68,10.76,0.34,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
17.0,1,17,0.0,0.601,75.23,10.16,0.4,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
18.0,1,18,0.0,3.359,50.35,6.8,0.73,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
19.0,1,19,0.0,2.269,33.54,4.53,0.96,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
20.0,1,20,0.0,2.833,12.56,1.7,1.24,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
21.0,1,21,0.0,1.83,5.0,0.68,2.15,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
22.0,1,22,0.0,0.624,5.0,0.68,2.78,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
23.0,1,23,0.0,0.535,5.0,0.68,3.31,18.89,0.11,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
24.0,2,0,0.0,0.642,5.0,0.68,3.95,18.89,0.23,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
25.0,2,1,1.003,0.582,7.8,1.05,3.95,18.93,0.23,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
26.0,2,2,1.937,0.614,16.63,2.24,3.95,19.06,0.23,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
27.0,2,3,2.74,0.51,31.49,4.25,3.95,19.29,0.23,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000191D9D46A50>>
