timestamp_hours,day,hour_of_day,solar_generation_kw,load_demand_kw,battery_soc_percent,battery_energy_kwh,grid_import_kwh,grid_export_kwh,cloud_coverage,inverter_operational
0.0,1,0,0.0,0.542,45.98,6.21,0.05,0.0,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
1.0,1,1,0.513,0.598,41.56,5.61,0.11,0.51,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
2.0,1,2,0.991,0.578,37.27,5.03,0.17,1.5,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
3.0,1,3,1.401,0.61,32.76,4.42,0.23,2.9,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
4.0,1,4,1.716,0.631,28.08,3.79,0.3,4.62,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
5.0,1,5,1.914,0.589,23.72,3.2,0.35,6.53,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
6.0,1,6,1.981,0.582,19.41,2.62,0.41,8.51,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
7.0,1,7,1.914,0.564,15.23,2.06,0.47,10.43,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
8.0,1,8,1.716,0.522,11.36,1.53,0.52,12.14,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
9.0,1,9,1.401,0.594,6.96,0.94,0.58,13.54,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
10.0,1,10,0.991,0.593,5.0,0.68,0.94,14.54,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
11.0,1,11,0.513,0.569,5.0,0.68,1.5,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
12.0,1,12,0.0,0.544,5.0,0.68,2.05,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
13.0,1,13,0.0,0.571,5.0,0.68,2.62,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
14.0,1,14,0.0,0.637,5.0,0.68,3.26,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
15.0,1,15,0.0,0.569,5.0,0.68,3.83,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
16.0,1,16,0.0,0.615,5.0,0.68,4.44,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
17.0,1,17,0.0,0.642,5.0,0.68,5.08,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
18.0,1,18,0.0,1.921,5.0,0.68,7.0,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
19.0,1,19,0.0,3.287,5.0,0.68,10.29,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
20.0,1,20,0.0,2.497,5.0,0.68,12.79,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
21.0,1,21,0.0,2.243,5.0,0.68,15.03,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
22.0,1,22,0.0,0.61,5.0,0.68,15.64,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
23.0,1,23,0.0,0.52,5.0,0.68,16.16,15.05,0.6,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
24.0,2,0,0.0,0.506,5.0,0.68,16.67,15.05,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
25.0,2,1,0.792,0.618,5.0,0.68,17.28,15.84,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
26.0,2,2,1.531,0.578,5.0,0.68,17.86,17.37,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
27.0,2,3,2.165,0.548,5.0,0.68,18.41,19.54,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
28.0,2,4,2.651,0.633,5.0,0.68,19.04,22.19,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
29.0,2,5,2.957,0.579,5.0,0.68,19.62,25.14,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
30.0,2,6,3.062,0.588,5.0,0.68,20.21,28.21,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
31.0,2,7,2.957,0.594,5.0,0.68,20.8,31.16,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
32.0,2,8,2.651,0.515,5.0,0.68,21.32,33.81,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
33.0,2,9,2.165,0.55,5.0,0.68,21.87,35.98,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
34.0,2,10,1.531,0.547,5.0,0.68,22.42,37.51,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
35.0,2,11,0.792,0.589,5.0,0.68,23.01,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
36.0,2,12,0.0,0.626,5.0,0.68,23.63,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
37.0,2,13,0.0,0.556,5.0,0.68,24.19,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
38.0,2,14,0.0,0.619,5.0,0.68,24.81,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
39.0,2,15,0.0,0.635,5.0,0.68,25.44,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
40.0,2,16,0.0,0.509,5.0,0.68,25.95,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
41.0,2,17,0.0,0.537,5.0,0.68,26.49,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
42.0,2,18,0.0,3.055,5.0,0.68,29.54,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
43.0,2,19,0.0,3.202,5.0,0.68,32.74,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
44.0,2,20,0.0,1.145,5.0,0.68,33.89,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
45.0,2,21,0.0,0.629,5.0,0.68,34.52,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
46.0,2,22,0.0,0.575,5.0,0.68,35.09,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
47.0,2,23,0.0,0.581,5.0,0.68,35.68,38.3,0.39,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
48.0,3,0,0.0,0.642,5.0,0.68,36.32,38.3,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
49.0,3,1,0.773,0.527,5.0,0.68,36.84,39.08,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
50.0,3,2,1.493,0.547,5.0,0.68,37.39,40.57,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
51.0,3,3,2.112,0.628,5.0,0.68,38.02,42.68,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
52.0,3,4,2.586,0.641,5.0,0.68,38.66,45.27,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
53.0,3,5,2.885,0.542,5.0,0.68,39.2,48.15,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
54.0,3,6,2.987,0.631,5.0,0.68,39.83,51.14,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
55.0,3,7,2.885,0.614,5.0,0.68,40.45,54.02,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
56.0,3,8,2.586,0.64,5.0,0.68,41.09,56.61,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
57.0,3,9,2.112,0.539,5.0,0.68,41.63,58.72,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
58.0,3,10,1.493,0.563,5.0,0.68,42.19,60.22,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
59.0,3,11,0.773,0.561,5.0,0.68,42.75,60.99,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
60.0,3,12,0.0,0.641,5.0,0.68,43.39,60.99,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
61.0,3,13,0.0,0.521,5.0,0.68,43.91,60.99,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
62.0,3,14,0.0,0.502,5.0,0.68,44.41,60.99,0.4,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000235B6D9EA50>>
