timestamp_hours,day,hour_of_day,solar_generation_kw,load_demand_kw,battery_soc_percent,battery_energy_kwh,grid_import_kwh,grid_export_kwh,cloud_coverage,inverter_operational
0.0,1,0,0.0,0.5,49.07,6.62,0.01,0.0,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
0.25,1,0,0.0,0.587,47.99,6.48,0.03,0.0,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
0.5,1,0,0.0,0.645,46.79,6.32,0.04,0.0,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
0.75,1,0,0.0,0.587,45.7,6.17,0.06,0.0,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
1.0,1,1,1.131,0.585,46.61,6.29,0.06,0.01,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
1.25,1,1,1.131,0.644,47.43,6.4,0.06,0.03,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
1.5,1,1,1.131,0.531,48.43,6.54,0.06,0.04,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
1.75,1,1,1.131,0.504,49.47,6.68,0.06,0.06,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
2.0,1,2,2.185,0.602,52.11,7.03,0.06,0.1,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
2.25,1,2,2.185,0.535,54.86,7.41,0.06,0.14,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
2.5,1,2,2.185,0.623,57.46,7.76,0.06,0.18,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
2.75,1,2,2.185,0.616,60.08,8.11,0.06,0.22,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
3.0,1,3,3.09,0.502,64.39,8.69,0.06,0.28,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
3.25,1,3,3.09,0.526,68.66,9.27,0.06,0.34,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
3.5,1,3,3.09,0.643,72.74,9.82,0.06,0.41,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
3.75,1,3,3.09,0.514,77.03,10.4,0.06,0.47,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
4.0,1,4,3.784,0.645,82.27,11.11,0.06,0.55,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
4.25,1,4,3.784,0.502,87.74,11.84,0.06,0.63,0.13,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x0000018AD8A3EBA0>>
